[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep   250 | dynL 0.171 polR 0.000e+00 | train C 9.07e-04 S 0.865 | EVAL C 1.825e-04 S 0.9734 | buf 5000 | 650s
ep   500 | dynL 0.170 polR 0.000e+00 | train C 1.70e-03 S 0.703 | EVAL C 1.825e-04 S 0.9734 | buf 10000 | 1290s
ep   750 | dynL 0.171 polR 0.000e+00 | train C 1.72e-03 S 0.820 | EVAL C 1.825e-04 S 0.9734 | buf 15000 | 1928s
ep  1000 | dynL 0.171 polR 0.000e+00 | train C 1.59e-03 S 0.766 | EVAL C 1.825e-04 S 0.9734 | buf 20000 | 2559s
ep  1250 | dynL 0.171 polR 0.000e+00 | train C 2.01e-03 S 0.715 | EVAL C 1.825e-04 S 0.9734 | buf 25000 | 3205s
ep  1500 | dynL 0.172 polR 0.000e+00 | train C 1.52e-03 S 0.760 | EVAL C 1.825e-04 S 0.9734 | buf 30000 | 3851s
ep  1750 | dynL 0.174 polR 0.000e+00 | train C 1.98e-03 S 0.774 | EVAL C 1.825e-04 S 0.9734 | buf 35000 | 4490s
ep  2000 | dynL 0.174 polR 0.000e+00 | train C 1.33e-03 S 0.856 | EVAL C 1.825e-04 S 0.9734 | buf 40000 | 5124s
ep  2250 | dynL 0.175 polR 0.000e+00 | train C 2.25e-03 S 0.739 | EVAL C 1.825e-04 S 0.9734 | buf 45000 | 5757s
ep  2500 | dynL 0.175 polR 0.000e+00 | train C 1.86e-03 S 0.736 | EVAL C 1.825e-04 S 0.9734 | buf 50000 | 6391s
ep  2750 | dynL 0.175 polR 0.000e+00 | train C 1.57e-03 S 0.753 | EVAL C 1.825e-04 S 0.9734 | buf 55000 | 7025s
ep  3000 | dynL 0.176 polR 0.000e+00 | train C 1.04e-03 S 0.799 | EVAL C 1.825e-04 S 0.9734 | buf 60000 | 7661s
ep  3250 | dynL 0.177 polR 0.000e+00 | train C 2.17e-03 S 0.693 | EVAL C 1.825e-04 S 0.9734 | buf 65000 | 8302s
ep  3500 | dynL 0.178 polR 0.000e+00 | train C 1.49e-03 S 0.783 | EVAL C 1.825e-04 S 0.9734 | buf 70000 | 8941s
ep  3750 | dynL 0.176 polR 0.000e+00 | train C 1.23e-03 S 0.840 | EVAL C 1.825e-04 S 0.9734 | buf 75000 | 9581s
ep  4000 | dynL 0.176 polR 0.000e+00 | train C 1.34e-03 S 0.855 | EVAL C 1.825e-04 S 0.9734 | buf 80000 | 10214s
ep  4250 | dynL 0.178 polR -2.054e+00 | train C 1.86e-04 S 0.970 | EVAL C 1.835e-04 S 0.9670 | buf 85000 | 10849s
ep  4500 | dynL 0.179 polR -2.060e+00 | train C 2.91e-04 S 0.965 | EVAL C 1.935e-04 S 0.9653 | buf 90000 | 11505s
ep  4750 | dynL 0.180 polR -1.932e+00 | train C 1.67e-04 S 0.960 | EVAL C 1.804e-04 S 0.9729 | buf 95000 | 12137s
ep  5000 | dynL 0.181 polR -1.867e+00 | train C 1.53e-04 S 0.970 | EVAL C 1.616e-04 S 0.9708 | buf 100000 | 12797s
ep  5250 | dynL 0.182 polR -1.813e+00 | train C 1.94e-04 S 0.951 | EVAL C 1.434e-04 S 0.9682 | buf 105000 | 13438s
ep  5500 | dynL 0.186 polR -1.749e+00 | train C 1.49e-04 S 0.968 | EVAL C 1.373e-04 S 0.9700 | buf 110000 | 14089s
ep  5750 | dynL 0.187 polR -1.636e+00 | train C 2.23e-04 S 0.972 | EVAL C 1.305e-04 S 0.9716 | buf 115000 | 14722s
