[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep   250 | dynL 0.172 polR 0.000e+00 | train C 1.24e-03 S 0.811 | EVAL C 1.825e-04 S 0.9734 | buf 5000 | 586s
ep   500 | dynL 0.170 polR 0.000e+00 | train C 1.70e-03 S 0.706 | EVAL C 1.825e-04 S 0.9734 | buf 10000 | 1203s
ep   750 | dynL 0.170 polR 0.000e+00 | train C 1.97e-03 S 0.780 | EVAL C 1.825e-04 S 0.9734 | buf 15000 | 1813s
ep  1000 | dynL 0.172 polR 0.000e+00 | train C 1.20e-03 S 0.826 | EVAL C 1.825e-04 S 0.9734 | buf 20000 | 2415s
ep  1250 | dynL 0.171 polR 0.000e+00 | train C 1.79e-03 S 0.739 | EVAL C 1.825e-04 S 0.9734 | buf 25000 | 3016s
ep  1500 | dynL 0.172 polR 0.000e+00 | train C 1.69e-03 S 0.771 | EVAL C 1.825e-04 S 0.9734 | buf 30000 | 3627s
ep  1750 | dynL 0.173 polR 0.000e+00 | train C 2.32e-03 S 0.655 | EVAL C 1.825e-04 S 0.9734 | buf 35000 | 4250s
ep  2000 | dynL 0.175 polR 0.000e+00 | train C 1.76e-03 S 0.764 | EVAL C 1.825e-04 S 0.9734 | buf 40000 | 4856s
ep  2250 | dynL 0.176 polR 0.000e+00 | train C 1.84e-03 S 0.787 | EVAL C 1.825e-04 S 0.9734 | buf 45000 | 5455s
ep  2500 | dynL 0.176 polR 0.000e+00 | train C 1.91e-03 S 0.682 | EVAL C 1.825e-04 S 0.9734 | buf 50000 | 6064s
ep  2750 | dynL 0.177 polR 0.000e+00 | train C 9.02e-04 S 0.841 | EVAL C 1.825e-04 S 0.9734 | buf 55000 | 6658s
ep  3000 | dynL 0.176 polR 0.000e+00 | train C 1.82e-03 S 0.694 | EVAL C 1.825e-04 S 0.9734 | buf 60000 | 7248s
ep  3250 | dynL 0.177 polR 0.000e+00 | train C 1.74e-03 S 0.765 | EVAL C 1.825e-04 S 0.9734 | buf 65000 | 7847s
ep  3500 | dynL 0.177 polR 0.000e+00 | train C 1.16e-03 S 0.796 | EVAL C 1.825e-04 S 0.9734 | buf 70000 | 8455s
ep  3750 | dynL 0.176 polR 0.000e+00 | train C 1.15e-03 S 0.879 | EVAL C 1.825e-04 S 0.9734 | buf 75000 | 9089s
ep  4000 | dynL 0.176 polR 0.000e+00 | train C 1.47e-03 S 0.853 | EVAL C 1.825e-04 S 0.9734 | buf 80000 | 9692s
ep  4250 | dynL 0.177 polR -2.039e+00 | train C 1.92e-04 S 0.966 | EVAL C 1.819e-04 S 0.9717 | buf 85000 | 10353s
ep  4500 | dynL 0.181 polR -2.043e+00 | train C 2.43e-04 S 0.939 | EVAL C 1.883e-04 S 0.9601 | buf 90000 | 10993s
ep  4750 | dynL 0.180 polR -1.973e+00 | train C 1.95e-04 S 0.952 | EVAL C 1.763e-04 S 0.9698 | buf 95000 | 11655s
ep  5000 | dynL 0.182 polR -1.926e+00 | train C 4.51e-04 S 0.964 | EVAL C 1.735e-04 S 0.9709 | buf 100000 | 12334s
ep  5250 | dynL 0.182 polR -1.755e+00 | train C 1.30e-04 S 0.984 | EVAL C 1.338e-04 S 0.9742 | buf 105000 | 12988s
ep  5500 | dynL 0.186 polR -1.732e+00 | train C 2.62e-04 S 0.963 | EVAL C 1.324e-04 S 0.9731 | buf 110000 | 13644s
