Wall time,Step,Value
1761711717.300285,2048,6.270647048950195
1761711891.4148307,4096,6.320919513702393
1761712048.9445682,6144,6.307450294494629
1761712205.88577,8192,6.582969665527344
1761712361.0760174,10240,6.54595947265625
1761712526.1991806,12288,6.742058753967285
1761712706.9399095,14336,6.758934497833252
1761712886.916464,16384,6.835093975067139
1761713067.757579,18432,6.933828353881836
1761713248.8274071,20480,7.006821155548096
1761713429.8182976,22528,7.142024993896484
1761713607.3551507,24576,7.134763717651367
1761713782.177032,26624,7.281018257141113
1761713957.2815547,28672,7.315335750579834
1761714132.9729054,30720,7.326688766479492
1761714309.0607505,32768,7.494208812713623
1761714482.55405,34816,7.5341691970825195
1761714661.0711057,36864,7.580263614654541
1761714837.074801,38912,7.629866123199463
1761715013.0420816,40960,7.712798118591309
1761715189.3881934,43008,7.686846733093262
1761715364.4728618,45056,7.770177841186523
1761715540.247074,47104,7.810956001281738
1761715715.136201,49152,7.831557273864746
1761715891.901139,51200,7.86885929107666
1761716067.3713698,53248,7.874757289886475
1761716244.0656698,55296,7.927597522735596
1761716420.143371,57344,7.964954853057861
1761716597.0652635,59392,7.952428817749023
1761716770.897062,61440,7.950827121734619
1761716946.6890235,63488,8.030282020568848
1761717122.1938128,65536,8.015625953674316
1761717296.9293149,67584,8.039572715759277
1761717472.065276,69632,8.012494087219238
1761717647.5865407,71680,7.997371673583984
1761717821.8978505,73728,8.046404838562012
1761717997.9325514,75776,8.049483299255371
1761718173.6976817,77824,8.07163143157959
1761718348.555638,79872,8.059379577636719
1761718525.0470881,81920,8.114150047302246
1761718711.224877,83968,8.061837196350098
1761718898.3487153,86016,8.0796480178833
1761719088.1570213,88064,8.04343318939209
1761719278.1093984,90112,8.099747657775879
